Time resolution is 1 ps
Time = 372000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 376000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 380000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 384000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 388000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 392000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 396000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 400000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 404000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 408000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 412000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 416000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 420000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 424000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 428000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 432000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 436000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 440000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 444000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 448000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 452000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 456000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 460000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 464000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 468000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 472000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 476000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 480000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 484000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 488000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 492000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 496000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 500000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 504000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 508000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 512000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 516000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 520000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 524000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 528000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 532000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 536000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 540000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 544000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 548000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 552000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 556000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 560000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 564000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 568000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 572000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 576000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 580000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 584000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 588000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 592000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 596000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 600000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 604000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 608000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 612000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 616000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 620000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 624000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 628000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 632000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 636000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 640000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 644000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 648000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 652000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 656000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 660000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 664000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 668000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 672000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 676000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 680000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 684000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 688000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 692000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 696000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 700000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 704000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 708000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 712000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 716000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 720000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 724000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 728000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 732000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 736000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 740000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 744000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 748000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 752000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 756000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 760000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 764000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 768000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 772000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 776000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 780000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 784000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 788000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 792000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 796000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 800000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 804000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 808000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 812000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 816000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 820000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 824000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 828000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 832000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 836000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 840000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 844000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 848000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 852000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 856000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 860000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 864000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 868000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 872000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 876000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 880000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 884000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 888000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 892000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 896000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 900000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 904000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 908000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 912000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 916000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 920000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 924000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 928000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 932000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 936000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 940000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 944000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 948000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 952000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 956000 | clk_in = 1 | clk1 = 1 | clk2 = 0
Time = 960000 | clk_in = 0 | clk1 = 1 | clk2 = 0
Time = 964000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 968000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 972000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 976000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 980000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 984000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 988000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 992000 | clk_in = 0 | clk1 = 0 | clk2 = 0
Time = 996000 | clk_in = 1 | clk1 = 0 | clk2 = 0
Time = 1000000 | clk_in = 0 | clk1 = 0 | clk2 = 0
